chunk_id,node_slug,type,title,summary,applicability,content,boundary,note
b476eb0452-004,离子键,MISCONCEPTION_GUIDE,离子键与金属键的判断易错点,离子键是阴、阳离子间的静电作用；离子键和金属键都没有方向性和饱和性。,判断化学键类型、化合物类别的题。,①离子键：阴、阳离子之间的静电作用，成键条件为成键原子所属元素电负性差值较大。②金属键：金属阳离子和自由电子之间的一种电性作用，存在于同种金属元素原子之间或不同种金属元素原子之间（合金）。③易错点：离子键和金属键都没有方向性和饱和性。④离子化合物在熔融状态下可以导电，则在熔融状态下可以导电的化合物一定是离子化合物（实验判据）。⑤仅由非金属元素组成的化合物，可能是离子化合物，如 NH₄Cl、NH₄HSO₄、NH₄NO₃ 等。⑥金属元素和非金属元素间也可形成共价化合物，如 AlCl₃。,熔融状态能导电是离子化合物的实验判据，但 NH₄Cl 等离子化合物只含非金属元素，不能只按元素种类判断键型。,五三电子教参 精讲册PDF 第六章
b476eb0452-002,配位化合物,CONCEPT_EXPLANATION,配位数与配位体的判断,配位数是中心原子周围配位原子的数目；外界离子不属于配位体，电负性小的原子作配位原子。,判断配合物的中心离子、配体、配位原子与配位数的题。,①配位数是指中心原子（或中心离子）周围配位原子的数目。②有些配合物中的配位体不止一种，计算配位数时要将各种配位体都计入，注意外界离子不属于配位体。③例如 [Co(NH₃)₄(H₂O)₂]Cl₂ 与 [Cr(H₂O)₅Cl]Cl₂ 中 Co²⁺ 与 Cr³⁺ 的配位数均为 6。④配位体中两端均有孤电子对时，一般电负性小的原子为配位原子，如配位体 CO 中的 C 为配位原子。⑤[Cu(NH₃)₄]SO₄·H₂O 中中心离子是 Cu²⁺、配体是 NH₃、配位原子是 N、配位数为 4；[Ag(NH₃)₂]Cl 中中心离子是 Ag⁺、配位数为 2；[Fe(CN)₆]³⁻ 中中心离子是 Fe³⁺、配体是 CN⁻、配位数为 6。⑥书写离子方程式时，配离子一般不拆分。,计算配位数时容易漏计多种配位体，或把外界离子错当成配位体。,五三电子教参 精讲册PDF 第六章
b476eb0452-020,共价键及键参数易混易错点,METHOD_MODEL,键长、键角、键能大小的比较,键长看原子半径与键级，键角按杂化类型、孤电子对与多重键比较，键能一般随键长缩短而增大。,比较分子中共价键键长、键角或键能大小的题。,①键长大小的比较：同类型共价键，成键原子半径越小键长越短；同一分子中键级越大键长越短，如 C≡C<C=C<C—C。②键角大小的三种思维模型：不同杂化轨道类型的键角大小 sp>sp²>sp³；孤电子对与成键电子对的斥力大于成键电子对之间的斥力，孤电子对越多键角越小；同一分子中多重键电子斥力大、键角大，例如 COCl₂ 分子中键角大小是单键—双键>单键—单键。③键能大小的比较：共价键越稳定键能越大；一般来说，键长越短键能越大。④注意特例：F—F 键键长为 141 pm，Cl—Cl 键键长为 198 pm，但 F—F 键键能为 157 kJ·mol⁻¹，而 Cl—Cl 键键能为 242.7 kJ·mol⁻¹，原因是 F 原子半径小，原子核间距离小，斥力大。,键长短不等于键能大，F—F 键就是键长短而键能小的例外；键能决定分子的稳定性，与分子间作用力无关。,五三电子教参 精讲册PDF 第六章
b476eb0452-030,分子晶体,CONCEPT_EXPLANATION,分子晶体的密堆积与非密堆积,只靠范德华力时分子密堆积、每个分子周围最多 12 个紧邻分子；主要靠氢键时非密堆积。,判断分子晶体中紧邻分子数目与堆积方式的题。,①概念：只含分子的晶体称为分子晶体，只有分子晶体才有分子式。②较典型的分子晶体：所有非金属氢化物；部分非金属单质，如卤素 X₂、稀有气体、硫 S₈ 等；部分非金属氧化物；几乎所有的酸；绝大多数有机物。③微粒间的作用力：相邻分子间以分子间作用力结合，分子内原子之间以共价键结合，注意稀有气体的特殊性。④分子密堆积：作用力只有范德华力、无氢键，空间特点是每个分子周围最多有 12 个紧邻的分子，例如 C₆₀、干冰、I₂、O₂。⑤分子非密堆积：主要是氢键，氢键具有方向性，空间利用率不高、留有相当大的空隙，例如 HF、NH₃、冰；冰晶体中四面体中心的每个水分子与四面体顶角方向的 4 个相邻水分子相互吸引。⑥注意：水在 4 ℃时密度最大。,冰中每个水分子周围紧邻的水分子只有 4 个（氢键有方向性），不能按分子密堆积的 12 个判断。,五三电子教参 精讲册PDF 第六章
25e960af7a-003,中和热测定注意事项,MISCONCEPTION_GUIDE,中和反应反应热测定的偏差分析,弱酸弱碱电离吸热使测得的反应热数值偏大；浓硫酸、NaOH 固体溶解放热与生成 BaSO₄ 放热都使放热量增大。,分析中和反应反应热测定中数据偏大或偏小的题。,①装置要点：杯盖、隔热层、外壳的作用是保温，减少热量损失；为保证酸被完全中和，通常采用稍过量的碱；终止温度 t₂ 应取反应过程中的最高温度。②使用弱酸或弱碱时：因为弱酸或弱碱在溶液中存在电离平衡，电离过程需要吸热，实验中若使用弱酸或弱碱，则放出的热量会减少，测得的反应热数值偏大。③使用浓硫酸（或 NaOH 固体）作反应物时：因二者溶于水会放热，则放出的热量会增大。④稀硫酸和 Ba(OH)₂ 溶液反应生成 1 mol H₂O(l) 时所释放的热量比 57.3 kJ 多，原因是除了中和反应放热外，Ba²⁺ 和 SO₄²⁻ 结合生成 BaSO₄ 沉淀也会放热。⑤中和热测定的计算公式为 ΔH=-c·(m酸+m碱)·(t₂-t₁)/n，其中 c 近似为 4.18 J·g⁻¹·℃⁻¹，n 为生成 H₂O 的物质的量。,两类偏差方向相反：弱酸弱碱使测得的中和热数值偏大，而浓硫酸、NaOH 固体或生成 BaSO₄ 沉淀都使放热量偏大，不能混为一谈。,五三电子教参 精讲册PDF 第七章
25e960af7a-011,活化能,METHOD_MODEL,反应历程图像的三种常见类型,反应历程图像按曲线图式、能垒图式、循环图式三类分析，活化能最大的一步是决速步。,由反应历程图像判断决速步、中间产物、催化剂与焓变的题。,①基本概念：由反应物经过一步就能转化为生成物的反应是基元反应；基元反应构成的反应序列就是反应历程，基元反应的总和称为总反应；过渡态是基元反应中具有最高能量的一种结构状态；活化能是活化分子具有的平均能量与反应物分子具有的平均能量之差。②活化能越大反应越难发生；在复杂反应中，活化能最大的基元反应为决速步。③曲线图式：通过始态与终态的能量高低可以判断反应是吸热还是放热；有几个峰，反应历程就分几步进行；过渡态在波峰、中间产物在波谷，中间产物往往比过渡态的能量低、比过渡态稳定。④能垒图式：过渡态左侧相邻物质“爬坡”至过渡态所需的能量即为能垒，最大能垒对应的步骤即为决速步；有几个过渡态就有几个基元反应。⑤循环图式：通过箭头进入循环且“只进不出”的是反应物，只出不进的是生成物，先参加反应又在后续反应中生成（有进有出）的是催化剂，先生成后又消耗掉（自生自灭）的是中间产物。,催化剂降低正、逆反应的活化能但不改变 ΔH，反应是放热还是吸热取决于反应物与生成物总能量的相对大小。,五三电子教参 精讲册PDF 第七章
62064c1daf-014,电解原理,METHOD_MODEL,电镀铜与电解精炼铜的比较,电镀铜阳极是镀层金属、阴极是待镀金属、溶液浓度不变；电解精炼铜阳极是粗铜、浓度变小并产生阳极泥。,比较电镀与电解精炼的电极材料、电极反应与浓度变化的题。,①电镀铜（在 Fe 上镀 Cu）：阳极材料是镀层金属铜，电极反应为 Cu-2e⁻=Cu²⁺；阴极材料是待镀金属铁，电极反应为 Cu²⁺+2e⁻=Cu；电解质溶液是含 Cu²⁺ 的盐溶液；电镀过程中电解质溶液浓度不变。②电解精炼铜：阳极材料是粗铜（含 Zn、Fe、Ni、Ag、Au 等杂质），阳极反应有 Zn-2e⁻=Zn²⁺、Fe-2e⁻=Fe²⁺、Ni-2e⁻=Ni²⁺、Cu-2e⁻=Cu²⁺ 等；阴极材料是纯铜，电极反应为 Cu²⁺+2e⁻=Cu；电解质溶液浓度变小。③电解精炼铜时，粗铜中的 Ag、Au 等不反应，沉积在电解槽底部形成阳极泥。,电解精炼铜的阳极是粗铜而不是纯铜，且电解质溶液浓度变小；电镀时溶液浓度不变，两者恰好相反。,五三电子教参 精讲册PDF 第八章
62064c1daf-014,电解原理易错点,MISCONCEPTION_GUIDE,熔融电解冶炼钠镁铝的易错点,冶炼铝用电解熔融 Al₂O₃ 并加冰晶石助熔，不用 AlCl₃ 是因为它熔融状态下不导电。,电解法冶炼活泼金属的电极反应与试剂作用判断的题。,①冶炼钠：2NaCl(熔融)--电解-->2Na+Cl₂↑，阳极反应为 2Cl⁻-2e⁻=Cl₂↑，阴极反应为 Na⁺+e⁻=Na。②冶炼镁：MgCl₂(熔融)--电解-->Mg+Cl₂↑，阳极反应为 2Cl⁻-2e⁻=Cl₂↑，阴极反应为 Mg²⁺+2e⁻=Mg。③冶炼铝：2Al₂O₃(熔融、冰晶石)--电解-->4Al+3O₂↑，阳极反应为 2O²⁻-4e⁻=O₂↑，阴极反应为 Al³⁺+3e⁻=Al。④不用 AlCl₃ 冶炼铝的原因：AlCl₃ 为共价化合物，熔融状态下不导电。⑤冰晶石的作用：作助熔剂，节能。,AlCl₃ 是共价化合物、熔融状态不导电，冶炼铝只能电解熔融 Al₂O₃，不能电解 AlCl₃。,五三电子教参 精讲册PDF 第八章
62064c1daf-016,原电池,METHOD_MODEL,多池串联装置属性的判断,有外接电源的全是电解池；无外接电源时先找出发生自发氧化还原反应的池作原电池，其余为电解池。,判断串联装置中哪个是原电池、哪些是电解池的题。,①有外接电源的全部是电解池。②无明显外接电源的一般只有 1 个原电池，其余都是电解池；判断时先找出发生自发氧化还原反应的装置（如 Zn-Cu-稀硫酸池，或通入燃料与氧气的燃料电池池），该池为原电池，与之串联的其余装置均为电解池。③判断依据是装置中有无自发进行的氧化还原反应：能自发反应且把化学能转化为电能的是原电池，需要外加电源才能发生反应的是电解池。④串联电路中，每个电极转移的电子数都相等，可据此进行定量计算。,串联电路中各电极转移电子数相等，切勿按各池单独计算的电子量分别代入。,五三电子教参 精讲册PDF 第八章
62064c1daf-030,可充电电池题目的解答思路,CONCEPT_EXPLANATION,锂电池与锂离子电池的工作原理,锂电池负极 Li 失电子生成 Li⁺；锂离子电池按“嵌入/脱嵌”原理，充电时阴极反应为 6C+xLi⁺+xe⁻=LiₓC₆。,书写锂系电池的电极反应式、判断离子迁移方向的题。,①锂电池：锂电池是一类由金属锂或锂合金为负极材料、使用非水电解质溶液的电池；放电时 Li 失去电子被氧化为 Li⁺，负极反应式为 Li-e⁻=Li⁺，负极生成的 Li⁺ 定向移动到正极。②锂离子电池：基于“嵌入/脱嵌”反应原理，在两极形成的电压的驱动下，Li⁺ 可以向电极材料提供的“空间”中“嵌入”或“脱嵌”。③负极材料多采用石墨，电池充电时阴极反应式一般为 6C+xLi⁺+xe⁻=LiₓC₆；放电时负极反应是充电时阴极反应的逆过程：LiₓC₆-xe⁻=6C+xLi⁺。④正极材料一般为含 Li⁺ 的化合物，常用正极材料有 LiFePO₄、LiCoO₂、LiMn₂O₄ 等。,锂电池用金属锂直接作负极，锂离子电池的负极是“嵌入锂”的石墨，两者负极材料与电极反应式不同。,五三电子教参 精讲册PDF 第八章
