subject,material_slug,node_slug,node_name,confidence,evidence,slice
BIOLOGY,bio-adrenal-cortex-glucocorticoid,激素,激素,medium,材料讲肾上腺皮质分泌糖皮质激素（皮质醇）促进糖异生升血糖并与胰岛素拮抗与胰高血糖素协同；该节点已收录皮质醇分级调节与激素协同拮抗类条目,slice_01
BIOLOGY,bio-age-structure-types,种群的数量特征,种群的数量特征,high,材料讲年龄结构三种类型并按幼年与老年个体比例预测种群扩大稳定或缩小；属种群数量特征中的年龄结构,slice_02
BIOLOGY,bio-atp-driven-pump,主动运输,主动运输,high,材料讲ATP驱动泵水解ATP直接供能逆浓度转运离子；节点别名含ATP驱动的主动运输泵,slice_03
BIOLOGY,bio-axis-confirmation-open-vs-closed,测定光合速率与呼吸速率的常用方法,测定光合速率与呼吸速率的常用方法,medium,材料区分开放环境测CO2吸收速率与密闭容器测CO2浓度变化的两种测定情境并要求先确认纵轴含义；服务光合与呼吸速率的测定方法,slice_04
BIOLOGY,bio-breeding-selection-by-keyword,育种,育种,high,材料按设问关键词在杂交、单倍体、诱变、基因工程、体细胞杂交、多倍体之间选育种方案；主题就是育种方式选择,slice_05
BIOLOGY,bio-c3-plants-pertinent,c4植物-cam植物等特殊代谢类型,C4植物、CAM植物等特殊代谢类型,medium,材料以「无CO2泵」把C3与C4对照来讲（适用性即「C3与C4比较」）；服务C4等特殊代谢类型的比较考点,slice_06
BIOLOGY,bio-c4-pepc-affinity,c4植物-cam植物等特殊代谢类型,C4植物、CAM植物等特殊代谢类型,high,材料讲C4叶肉细胞PEPC对CO2亲和力高并利用HCO3−形成CO2浓缩机制；正对C4植物特殊代谢类型的CO2固定途径,slice_07
BIOLOGY,bio-c4-suppresses-photorespiration,c4植物-cam植物等特殊代谢类型,C4植物、CAM植物等特殊代谢类型,medium,材料讲C4维管束鞘内高CO2低O2环境抑制Rubisco加氧使光呼吸弱；同源P380-381重难3·题型1的C4途径材料均归此节点,slice_08
BIOLOGY,bio-cam-drought-adaptation,c4植物-cam植物等特殊代谢类型,C4植物、CAM植物等特殊代谢类型,high,材料讲CAM夜固定昼利用的时间分离兼顾获CO2与减少失水；正是C4与CAM等特殊代谢类型的适应意义考点,slice_09
BIOLOGY,bio-channels-vs-carriers,通道蛋白与载体蛋白的辨析,通道蛋白与载体蛋白的辨析,high,材料讲通道蛋白不与被运物结合而载体蛋白需结合后构象改变再释放；就是该点的辨析内容,slice_10
BIOLOGY,bio-chlorophyll-increase-worsens-photoinhibition,影响光合作用强度的环境因素,影响光合作用强度的环境因素,medium,材料讲提高叶绿素含量会增强光能吸收而加剧光抑制并给出减少吸收与增强耗散与清除自由基等减缓途径；与已绑同节点的『减轻光抑制的途径』属同一考点,slice_11
BIOLOGY,bio-circrna-sponge-mechanism,基因的表达,基因的表达,high,材料讲circRNA竞争性吸附miRNA从而解除对靶mRNA的抑制属转译水平的表达调控；该节点范围含RNA干扰的基因沉默机制,slice_12
BIOLOGY,bio-closed-chamber-area-sign-convention,测定光合速率与呼吸速率的常用方法,测定光合速率与呼吸速率的常用方法,medium,材料讲密闭容器CO2浓度曲线中积累量按下降段面积减上升段面积计算并要先确认纵轴含义；服务光合与呼吸速率的测定方法（同类开放与密闭情境材料已归此节点）,slice_13
BIOLOGY,bio-co2-fertilization-suppress-photorespiration,光呼吸,光呼吸,high,材料讲增施CO2使Rubisco处CO2与O2比值升高从而固碳占优光呼吸下降产量提高；节点即光呼吸且已收录改造光呼吸支路提高净光合速率类条目,slice_14
BIOLOGY,bio-compensation-point-respiration-increase,光合作用与细胞呼吸“关键点”的移动,光合作用与细胞呼吸“关键点”的移动,high,材料讲细胞呼吸增强使净光合为0的位置右移即使光与CO2补偿点右移；属光合与呼吸关键点移动的判断,slice_15
BIOLOGY,bio-complete-dominance,分离定律,分离定律,medium,材料讲完全显性下杂合子Aa表现显性性状且自交呈3:1；属分离定律一对相对性状遗传的基本结论,slice_16
BIOLOGY,bio-concept-question-routine,长句应答题的作答方法,长句应答题的作答方法,medium,材料讲概念原理类题的作答步骤（抓内涵抓外延并紧扣关键词句）；属作答方法一类,slice_17
BIOLOGY,bio-consanguinity-multiplier,分离定律的概率计算-含自交与自由交配,分离定律的概率计算（含自交与自由交配）,medium,材料是同书同页同重难「隐性病随机婚配风险＝携带率×1/4」的互补片段；即近亲与随机婚配风险倍数计算,slice_18
BIOLOGY,bio-cotransporter-electrochemical-gradient,主动运输的类型,主动运输的类型,high,材料讲协同转运蛋白借H+/Na+电化学梯度间接耗能转运；属主动运输的具体类型,slice_19
BIOLOGY,bio-diurnal-dawn-respiration-valley,一昼夜CO2浓度变化曲线,一昼夜CO2浓度变化曲线,high,材料讲一昼夜CO2曲线凌晨3-4时低谷由低温下呼吸减弱导致；正是该节点的一昼夜曲线关键点成因,slice_20
BIOLOGY,bio-diurnal-noon-depression-stomata,一昼夜CO2浓度变化曲线,一昼夜CO2浓度变化曲线,medium,材料讲一昼夜曲线正午凹陷（光合午休）的成因是气孔关闭致CO2不足；与该节点边界「光合午休由高温导致气孔关闭CO2供应不足引起」及同系列一昼夜曲线材料一致,slice_21
BIOLOGY,bio-diurnal-start-light-compensation-crossing,一昼夜CO2浓度变化曲线,一昼夜CO2浓度变化曲线,high,材料讲一昼夜曲线光照出现即开始光合且与横轴交点为光补偿；该节点别名即「密闭环境中CO2浓度变化曲线」且同讲一昼夜曲线的关键点判读,slice_22
BIOLOGY,bio-dominance-by-pure-cross,性状显隐性的判断,性状显隐性的判断,high,材料讲纯合亲本杂交F1表现的性状即为显性以及子代只出现一种性状时该性状为显性；即显隐性判断的方法结论,slice_23
BIOLOGY,bio-ecology-protection-measures,生物多样性,生物多样性,high,材料讲生物多样性保护的三类措施（就地保护的自然保护区；易地保护；种子基因库）；是该点的保护措施内容,slice_24
BIOLOGY,bio-energy-assimilation-issue,能量流动,能量流动,high,材料讲同化量＝摄入量−粪便且粪便能量属上一营养级；该节点别名即含「摄入量≠同化量」「摄入量、同化量与粪便能量的关系」,slice_25
BIOLOGY,bio-energy-ecological-pyramid,能量流动,能量流动,high,材料讲能量沿营养级单向流动逐级递减故能量金字塔正立；属能量流动的特征,slice_26
BIOLOGY,bio-etc-proton-gradient-establishment,有氧呼吸,有氧呼吸,medium,材料讲电子传递把H+从基质泵至膜间隙建立H+浓度差；属有氧呼吸第三阶段电子传递与氧化磷酸化；同页同题型的「O2与电子和H+结合生成水」「第三阶段线粒体内膜电子传递」两条已绑该点,slice_27
BIOLOGY,bio-excitatory-inhibitory-neurotransmitters,神经递质,神经递质,high,材料讲兴奋性递质引起Na+内流而抑制性递质GABA引起Cl−内流致后膜超极化；正是该节点「兴奋性与抑制性递质的后膜电位」条目,slice_28
BIOLOGY,bio-exp-control-types,对照实验的分析方法,对照实验的分析方法,high,材料讲空白对照与条件对照与相互对照与自身对照四类的区分及选择依据；该节点别名已含四类对照实验的区分,slice_29
BIOLOGY,bio-exp-dependent-variable-measurement,对照实验设计的四步模板,对照实验设计的四步模板,high,材料讲实验设计中因变量如何观测与测量（观测指标与检测方法）；与已绑的同源「自变量操纵」材料同属实验设计的基本程序与要素书写,slice_30
BIOLOGY,bio-exp-independent-variable-manipulation,对照实验设计的四步模板,对照实验设计的四步模板,high,材料讲实验设计中主动施加自变量并确保自变量唯一；该节点边界明确要求自变量操纵具体到剂量时间方式,slice_01
BIOLOGY,bio-exp-irrelevant-variables-constant,对照实验设计的四步模板,对照实验设计的四步模板,medium,材料讲实验设计中除自变量外各组无关变量须相同且适宜；与该节点无关变量必须写出处理办法的要点一致,slice_02
BIOLOGY,bio-fj-01-all-cells-from-preexisting,细胞学说,细胞学说,high,材料讲魏尔肖总结所有细胞都来源于先前存在的细胞；属细胞学说建立史要点,slice_03
BIOLOGY,bio-fj-01-epidemic-prevention-measures,病毒,病毒,medium,材料讲病毒性传染病的预防三方面（控制传染源、切断传播途径、保护易感人群）；属病毒与人类健康的预防应用,slice_04
BIOLOGY,bio-fj-01-prokaryote-bluealgae,原核细胞,原核细胞,high,材料讲蓝细菌是原核生物（无叶绿体无线粒体）却能光合自养；服务原核细胞这一考点,slice_05
BIOLOGY,bio-fj-01-slide-move,使用高倍显微镜观察细胞,使用高倍显微镜观察细胞,high,材料讲物像偏哪装片往哪移并用低倍镜移到中央再换高倍镜；属使用高倍显微镜观察细胞的操作要点,slice_06
BIOLOGY,bio-fj-01-virus-ecological-role,病毒,病毒,medium,材料两条结论都是病毒这一对象的属性（寄生异养属消费者、无细胞结构不属生命系统层次）；归入病毒主题条目最稳,slice_07
BIOLOGY,bio-fj-02-bulk-trace-elements,细胞中的元素,细胞中的元素,medium,材料讲大量元素与微量元素的划分；该节点已含同类材料「大量元素与微量元素的辨析」,slice_08
BIOLOGY,bio-fj-02-felin-reagent-fresh,实验-检测生物组织中的糖类-脂肪和蛋白质,实验：检测生物组织中的糖类、脂肪和蛋白质,medium,斐林试剂与双缩脲试剂都出自该检测实验；材料讲斐林试剂甲液乙液等量混匀后立即使用且久置生成Cu(OH)2沉淀失效,slice_09
BIOLOGY,bio-fj-02-felin-vs-bisuowei,常见实验试剂与颜色变化,常见实验试剂与颜色变化,medium,材料对比斐林试剂与双缩脲试剂的成分浓度、添加顺序与水浴或不加热的显色条件；属常见实验试剂与颜色变化,slice_10
BIOLOGY,bio-fj-02-free-water-four-functions,细胞中的水,细胞中的水,high,材料逐条列自由水的四大功能（溶剂与参与生化反应与提供液体环境与运送营养和废物）；正是细胞中的水的功能这一考点,slice_11
BIOLOGY,bio-fj-02-fresh-dry-weight-order,细胞中的元素,细胞中的元素,high,材料比较鲜重与干重的元素含量排序并给出含量最多的四种元素；该节点别名即「细胞中含量最多的四种元素」与「元素含量比较的易错要点」,slice_12
BIOLOGY,bio-fj-02-main-basic-core-element,细胞中的元素,细胞中的元素,medium,材料讲主要元素与基本元素与最基本元素的层级划分；同一第02讲讲义的元素划分材料已归此节点,slice_13
BIOLOGY,bio-fj-02-mg-chlorophyll-not-carotene,捕获光能的色素和结构,捕获光能的色素和结构,medium,材料讲Mg2+是叶绿素的组成成分而类胡萝卜素不含Mg；属光合色素的元素组成判断,slice_14
BIOLOGY,bio-fj-02-phosphorus-bulk,组成细胞的元素,组成细胞的元素,medium,材料判定P属大量元素并列举其参与构成的ATP与核苷酸与磷脂；属组成细胞的元素（大量与微量元素）归类判断,slice_15
BIOLOGY,bio-fj-02-reducing-sugar-list,细胞中的糖类,细胞中的糖类,medium,材料按还原性划分糖类（葡萄糖果糖半乳糖麦芽糖乳糖为还原糖；蔗糖与多糖无还原性）；属细胞中糖类的种类与性质,slice_16
BIOLOGY,bio-fj-02-reducing-sugar-test,实验-检测生物组织中的糖类-脂肪和蛋白质,实验：检测生物组织中的糖类、脂肪和蛋白质,high,材料讲还原糖与斐林试剂水浴加热生成砖红色沉淀的原理与取材操作；即该实验中的还原糖检测,slice_17
BIOLOGY,bio-fj-02-water-properties,细胞中的水,细胞中的水,medium,材料讲水分子的极性 氢键与比热容三个特性；该节点别名即含「水的特点」与「细胞中水的特性与存在形式」,slice_18
BIOLOGY,bio-fj-02-water-ratio-metabolism,细胞中的水,细胞中的水,high,材料讲自由水与结合水比值对代谢与抗逆性的影响；是细胞内水的核心考点,slice_19
BIOLOGY,bio-fj-03-chitin-uses,几丁质,几丁质,high,材料讲几丁质（壳多糖）含N元素的组成、真菌细胞壁与甲壳类外骨骼的分布及废水处理等应用；与该节点主题一致,slice_20
BIOLOGY,bio-fj-03-fructose-galactose-distribution,细胞中的糖类,细胞中的糖类,high,材料讲果糖与半乳糖的分布及其组成蔗糖与乳糖；同库单糖种类与分布类材料均绑「细胞中的糖类」,slice_21
BIOLOGY,bio-fj-03-glucose-fuel,细胞中的糖类,细胞中的糖类,high,材料讲葡萄糖是细胞生命活动的主要能源物质且属单糖可静脉注射；该节点别名含「糖类是主要能源物质」「细胞中的糖类·单糖」,slice_22
BIOLOGY,bio-fj-03-glucose-injection-sucrose-not,细胞中的糖类,细胞中的糖类,medium,材料辨析葡萄糖是单糖可直接进入细胞而蔗糖是二糖须水解为单糖才能被吸收利用；属细胞中糖类的种类与性质（该节点已绑单糖种类分布与还原糖划分类材料）,slice_23
BIOLOGY,bio-fj-03-lactose-in-milk,细胞中的糖类,细胞中的糖类,medium,材料讲乳糖由半乳糖与葡萄糖脱水缩合而成的动物二糖及其在乳汁中的分布；属细胞中的糖类,slice_24
BIOLOGY,bio-fj-03-maltose-in-germinating-grain,细胞中的糖类,细胞中的糖类,high,材料讲麦芽糖为植物二糖由两分子葡萄糖缩合且发芽谷粒中含量多；该节点边界即「三种二糖的水解产物与分布」,slice_25
BIOLOGY,bio-fj-03-pentose-sugars,细胞中的糖类,细胞中的糖类,medium,材料辨核糖与脱氧核糖两种五碳糖的归属（RNA与ATP、DNA）及动植物共有；属糖类种类内容,slice_26
BIOLOGY,bio-fj-03-polysaccharide-functions,细胞中的糖类,细胞中的糖类,high,材料讲淀粉、纤维素、糖原三类多糖的分布与功能；该节点已收录「常见的多糖」「细胞中的糖类·多糖」,slice_27
BIOLOGY,bio-fj-03-same-monomer-different-property,细胞中的糖类,细胞中的糖类,medium,材料讲淀粉糖原纤维素基本单位都是葡萄糖但因数量与连接方式不同性质迥异；属该节点多糖组成条目且与同讲义第03讲的既有材料同节点,slice_28
BIOLOGY,bio-fj-03-sudan-stains-fat-only,实验-检测生物组织中的糖类-脂肪和蛋白质,实验：检测生物组织中的糖类、脂肪和蛋白质,high,材料讲脂质中只有脂肪能被苏丹Ⅲ染成橘黄色而磷脂不显此反应；属脂肪检测实验的试剂特异性,slice_29
BIOLOGY,bio-fj-03-sugar-classification,细胞中的糖类,细胞中的糖类,high,材料讲糖类分单糖二糖多糖且二糖多糖须水解为单糖才能被细胞吸收；节点已收「糖类的元素组成与分类」「细胞中糖类的元素组成分类与分布」,slice_30
BIOLOGY,bio-fj-04-peptide-chain-ends,蛋白质相关计算题,蛋白质相关计算题,medium,材料给出肽链游离氨基羧基的判断结论（两端各一个其余在R基）；该节点即收录氨基酸与肽链计数类条目,slice_01
BIOLOGY,bio-fj-04-peptide-disulfide-bonds,蛋白质,蛋白质,high,材料讲一条肽链内相邻氨基酸以肽键相连而不同肽链间可借二硫键相连；该节点范围含肽键与二硫键等化学键,slice_02
BIOLOGY,bio-fj-04-peptide-naming,脱水缩合,脱水缩合,medium,材料讲氨基酸缩合成二肽多肽及肽链命名与环状肽端点；属脱水缩合产物,slice_03
BIOLOGY,bio-fj-04-salting-denaturation-hydrolysis,蛋白质的盐析变性与水解的辨析,蛋白质的盐析变性与水解的辨析,high,材料辨析盐析（可逆不改空间结构）、变性（不可逆但肽键不断）与水解（断肽键成氨基酸）；与节点同名,slice_04
