material_slug,target_node_name,evidence
chem-calcium-bicarbonate-naoh-model,与量有关的离子方程式书写技巧,材料标题为Ca(HCO3)2与NaOH反应的量比方程式模型，讲少量与过量两种配比下离子方程式的写法，属与量有关的离子方程式书写
chem-sodium-bisulfate-barium-hydroxide-model,与量有关的离子方程式书写技巧,材料标题为NaHSO4与Ba(OH)2反应的量比方程式模型，讲至中性与SO42-沉淀完全两种配比，属与量有关的离子方程式书写
chem-chromite-alkali-roasting-equation,陌生化学方程式书写的思路,材料标题为铬铁矿碱性氧化焙烧方程式模型，据题给信息由化合价升降写出陌生氧化还原化学方程式
chem-kb-nox-water-oxygen-relations,氮的氧化物,材料标题为氮氧化物与水、氧气反应的计算关系式，讲NO与NO2跟O2和水的反应关系式及碱液吸收规律
chem-hj2-na2o2-yushui-gongyang-gongyang,Na2O2的性质及应用,材料标题为Na2O2与水反应及供氧剂用途，讲Na2O2与水的歧化反应与呼吸面具供氧用途
chem-fx-bian-shi-xun-lian-bian-kao-fa-fen-zi-s-f03x11,判断同分异构体数目的常用方法和思路,材料为分子式为C4H9Cl的链状有机物限定条件下同分异构体数目，该节点正文正以丁基4种与C4H9Cl为例讲计数方法
chem-fx-yi-zhi-yu-shui-fan-ying-de-hua-xue-fan-f10x08,电子转移,材料仅给出NaBH4与2H2O生成NaBO2与4H2的氧化还原方程式，考查H由-1价与+1价归中为0价的电子转移分析
chem-fx-yu-shui-fan-ying-f12x01,钠与水及酸、碱、盐溶液的反应,材料内容为Na与水反应的离子方程式2Na+2H2O=2Na+与2OH-与H2及酚酞现象，源出第09讲钠及其氧化物
chem-fx-fen-bie-xie-chu-nong-yu-fan-ying-de-hu-f23x03,浓硫酸与金属的反应规律,材料要求写出浓H2SO4与Cu和C反应的化学方程式，该节点涵盖浓硫酸与Cu等不活泼金属及与非金属的反应规律
chem-fx-nong-xiao-suan-yu-tong-fan-ying-de-hua-f25x09,硝酸与金属反应的规律,材料给出浓硝酸与铜反应的化学方程式Cu加4HNO3浓生成Cu(NO3)2与2NO2与2H2O，属硝酸与金属反应规律
chem-fx-yu-shui-fan-ying-shi-f46x09,影响化学反应速率的因素,材料为Na与水反应时增大水的用量的速率辨析，属影响化学反应速率的因素
chem-fx-tian-ran-qi-yu-shui-zheng-qi-fan-ying-f59x08,天然气的综合利用,材料给出天然气与水蒸气反应制取H2的化学方程式，该节点正文即含此方程式
chem-gas-purification-saturated-salt-solution,分离提纯,材料为饱和盐溶液洗气除杂模型，讲CO2中混HCl用饱和NaHCO3溶液吸收的净化方法，属气体的分离提纯
chem-dichromate-equilibrium-color,外界条件对化学平衡的影响,材料为K2Cr2O7溶液滴加NaOH变黄再加硫酸变回橙色的实验，该节点正文即以Cr2O7与CrO4的转化讲条件对平衡的影响
chem-hj-so2-yubacl2-chenqu,二氧化硫,材料讲SO2通入BaCl2无沉淀而通Ba(NO3)2或碱性溶液生成沉淀，属SO2的性质与沉淀判断
chem-hj-shigu-chuli-yu-anquan,实验方案设计,材料讲浓硫酸灼伤与酒精着火与水银洒落等事故处理及安全七防，包内无事故处理专节点，其边界自述实验设计遵循安全性原则故归入实验方案设计
chem-fx-fen-bie-qu-ta-de-shui-rong-ye-liang-fe-f09x17,常见阳离子的检验与推断依据,材料为取水溶液两份分别加盐酸产生气泡与颜色变化的推断实验，属依据气体与特殊颜色检验推断离子
chem-fx-shi-yan-f19x05,氯水的成分,材料为淀粉-KI溶液与FeCl2溶液分别滴加氯水的实验现象，考查氯水中微粒的性质
chem-fx-rong-ye-zhong-cun-zai-f76x33,电荷守恒在离子推断中的应用,材料给出五种离子浓度均为0.01 mol/L并据实验推断种类，需用电荷守恒判断未知离子是否存在
