rel_path,subject,decision,rule,reason
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第2册 名师大招册.pdf,MATH,TRANSCRIBE_THIS_ROUND,jjdx-dazhao,方法/大招知识密集，本轮已渲染 build/render/jjdx-*-dazhao/
02-【数学】2027版高中《解题觉醒》/数学解题觉醒-第3册 大招解析册.pdf,MATH,SKIP_ANSWERS,jjdx-dazhao-jiexi,大招配套解析（题解）
02-【数学】2027版高中《解题觉醒》/考前急救图.pdf,MATH,TRANSCRIBE_THIS_ROUND,jjdx-jijiu,考前要点图，本轮已渲染
04-【物理】2027版高中《解题觉醒》/物理要点觉醒.pdf,PHYSICS,TRANSCRIBE_THIS_ROUND,jjdx-yaodian,要点速查，本轮已渲染
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第2册 名师大招册.pdf,PHYSICS,TRANSCRIBE_THIS_ROUND,jjdx-dazhao,方法/大招知识密集，本轮已渲染 build/render/jjdx-*-dazhao/
04-【物理】2027版高中《解题觉醒》/物理解题觉醒-第3册 大招解析册.pdf,PHYSICS,SKIP_ANSWERS,jjdx-dazhao-jiexi,大招配套解析（题解）
05-【化学】2027版高中《解题觉醒》/化学要点觉醒图示.pdf,CHEMISTRY,TRANSCRIBE_THIS_ROUND,jjdx-yaodian,要点速查，本轮已渲染
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第1册 主书.pdf,CHEMISTRY,TRANSCRIBE_LATER,jjdx-zhushu,主书含讲解+题，需抽样后再定
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第2册 名师大招册.pdf,CHEMISTRY,TRANSCRIBE_THIS_ROUND,jjdx-dazhao,方法/大招知识密集，本轮已渲染 build/render/jjdx-*-dazhao/
05-【化学】2027版高中《解题觉醒》/化学解题觉醒-第3册 大招解析册.pdf,CHEMISTRY,SKIP_ANSWERS,jjdx-dazhao-jiexi,大招配套解析（题解）
06-【生物】2027版高中《解题觉醒》/生物要点觉醒.pdf,BIOLOGY,TRANSCRIBE_THIS_ROUND,jjdx-yaodian,要点速查，本轮已渲染
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第1册 主书.pdf,BIOLOGY,TRANSCRIBE_LATER,jjdx-zhushu,主书含讲解+题，需抽样后再定
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第2册 名师大招册.pdf,BIOLOGY,TRANSCRIBE_THIS_ROUND,jjdx-dazhao,方法/大招知识密集，本轮已渲染 build/render/jjdx-*-dazhao/
06-【生物】2027版高中《解题觉醒》/生物解题觉醒-第3册 大招解析册.pdf,BIOLOGY,SKIP_ANSWERS,jjdx-dazhao-jiexi,大招配套解析（题解）
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/课堂笔记.pdf,MATH,PENDING_UNCLASSIFIED,-,规则未覆盖，需人工判定
2026年新高考资料/一轮复习/2026年高考数学一轮复习知识清单（全国通用）/2026版/解三角形及其应用.pdf,MATH,PENDING_UNCLASSIFIED,-,规则未覆盖，需人工判定
2026年新高考资料/一轮复习/2026年高考数学一轮复习讲义+练习+课件（新教材新高考）/2026版/第四章 三角函数与解三角形/解三角形及其应用.pdf,MATH,PENDING_UNCLASSIFIED,-,规则未覆盖，需人工判定
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理二轮专题强化练 【考前特训】.pdf,PHYSICS,SKIP_EXERCISES,kaoqian-texun,强化练
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮【专题复习】.pdf,PHYSICS,TRANSCRIBE_LATER,erlun-jiangyi,物理大二轮专题复习讲义，方法/知识型
2026年新高考资料(1)/二轮复习/2026版物理二轮复习/2026版物理 复习讲义扫描版【通用版】/物理大二轮专题复习【答案精析】.pdf,PHYSICS,SKIP_ANSWERS,daan-jingxi,答案
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》化学全解全析.pdf,CHEMISTRY,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》化学精练册.pdf,CHEMISTRY,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》化学精讲册.pdf,CHEMISTRY,TRANSCRIBED,wusan-book,743 页已渲染（build/wusan-render/manifest-*.json）并视觉转写入库
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》数学全解全析.pdf,MATH,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》数学精练册.pdf,MATH,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》数学精讲册.pdf,MATH,TRANSCRIBED,wusan-book,743 页已渲染（build/wusan-render/manifest-*.json）并视觉转写入库
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》物理全解全析.pdf,PHYSICS,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》物理精练册.pdf,PHYSICS,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》物理精讲册.pdf,PHYSICS,TRANSCRIBED,wusan-book,743 页已渲染（build/wusan-render/manifest-*.json）并视觉转写入库
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》生物全解全析.pdf,BIOLOGY,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》生物精练册.pdf,BIOLOGY,SKIP_EXERCISES,wusan-lianxi,练习题集，只要知识点不要题目
27版五三/2027《53高考总复习A版》9科 精练册&精讲册/2027《53高考总复习A版》生物精讲册.pdf,BIOLOGY,TRANSCRIBED,wusan-book,743 页已渲染（build/wusan-render/manifest-*.json）并视觉转写入库
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题一 物质的分类及转化物质的量/专题PDF/专题一  物质的分类及转化   物质的量.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题七化学反应与电能/专题PDF/专题七  化学反应与电能.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题三元素及其化合物/专题PDF/专题三  元素及其化合物.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题九水溶液中的离子反应与平衡/专题PDF/专题九  水溶液中的离子反应与平衡.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题二离子反应氧化还原反应/专题PDF/专题二  离子反应  氧化还原反应.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题五 化学键分子和晶体的结构与性质/专题PDF/专题五  化学键  分子和晶体的结构与性质.pdf,CHEMISTRY,TRANSCRIBE_LATER,wusan-b-topic,B版专题 PDF，另一本书，知识+题混合
