chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-045,MATERIAL,常见仪器,REPRESENTATION_GUIDE,球形干燥管的气流方向与干燥剂选择,用球形干燥管干燥气体时气流必须“大口进、小口出”，且所选干燥剂不能与待干燥的气体反应。,气体除杂与干燥的装置连接题：判断干燥管的接法对不对、所选干燥剂能不能用。,用球形干燥管（内装固体干燥剂）干燥气体时，气流方向必须**大口进、小口出**，即从粗端进气、细端出气。这样气体才能均匀穿过干燥剂层，也不会把干燥剂冲散。\n\n干燥剂必须与待干燥气体“不反应”：\n\n| 干燥剂 | 类别 | 可干燥 | 不能干燥 |\n|---|---|---|---|\n| 碱石灰（$\mathrm{CaO}$ 与 $\mathrm{NaOH}$ 固体） | 碱性 | $\mathrm{H_2}$、$\mathrm{O_2}$、$\mathrm{N_2}$、$\mathrm{NH_3}$ | $\mathrm{CO_2}$、$\mathrm{SO_2}$、$\mathrm{Cl_2}$、$\mathrm{HCl}$ 等酸性气体 |\n| 浓硫酸 | 酸性 | $\mathrm{H_2}$、$\mathrm{O_2}$、$\mathrm{CO_2}$、$\mathrm{SO_2}$、$\mathrm{Cl_2}$ | $\mathrm{NH_3}$（发生反应） |\n\n例：$\mathrm{H_2}$ 中混有少量 $\mathrm{HCl}$，可以用碱石灰除去（$\mathrm{HCl}$ 是酸性气体、$\mathrm{H_2}$ 不与碱石灰反应）；但若装置图把气流画成“小口进、大口出”，则该装置错误。,碱石灰不能干燥任何酸性气体；干燥管是干燥气体的装置，不能用来除溶液中的杂质；气流接反（小口进、大口出）会使干燥剂被吹散、干燥不充分，是最常见的失分点；判断干燥剂能否使用时，第一步先判断气体是酸性还是碱性。,p418 三年模拟解析：干燥管与干燥剂,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-045,MATERIAL,分离提纯,MISCONCEPTION_GUIDE,碘与氯化铵不能用升华法分离,加热时碘升华、氯化铵分解后又化合，两种物质都会“固体变气体再变固体”，升华法无法分离。,固体混合物分离方法的选择题，判断“升华法能否分离 $\mathrm{I_2}$ 与 $\mathrm{NH_4Cl}$”。,碘受热易升华：$\mathrm{I_2}(s)\rightleftharpoons \mathrm{I_2}(g)$；氯化铵受热易分解：$\mathrm{NH_4Cl}\xrightarrow{\Delta}\mathrm{NH_3}\uparrow+\mathrm{HCl}\uparrow$，生成的两种气体在较冷的烧瓶外壁上又会重新化合：$\mathrm{NH_3}+\mathrm{HCl}=\mathrm{NH_4Cl}$。\n\n所以把 $\mathrm{I_2}$ 与 $\mathrm{NH_4Cl}$ 的混合物加热“升华”，两种物质都会变成气体并在冷处重新变成固体，**得到的固体仍然是混合物**，达不到分离目的。\n\n要分离二者，应利用碘易溶于有机溶剂（如 $\mathrm{CCl_4}$、苯）而 $\mathrm{NH_4Cl}$ 不溶于有机溶剂的性质，先萃取分液，再蒸馏回收碘。,升华法只适用于“受热升华、冷处凝华、过程中不发生化学变化”的组分；$\mathrm{NH_4Cl}$ 受热分解是化学变化，与 $\mathrm{I_2}$ 的物理升华本质不同，二者混在一起时不能只看“都能变气体”就选升华法；把“$\mathrm{NH_4Cl}$ 分解后又化合”误当“升华”是最典型的错因。,p418 三年模拟解析：升华法分离,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-046,MATERIAL,常见仪器,REPRESENTATION_GUIDE,球形冷凝管与直形冷凝管的选择,球形冷凝管的球泡会滞留馏分，只用于回流；蒸馏必须用直形冷凝管。,装置图判断题：选择或辨认冷凝管类型，判断“回流”与“蒸馏”的装置是否正确。,冷凝管有两种常见型式，用途必须区分：\n\n- **球形冷凝管**：内管由多个球泡组成，球泡处会滞留馏分、液体不能顺利流出，**只适用于回流**（蒸气冷凝后流回反应瓶中）。\n- **直形冷凝管**：内管笔直，冷凝液能顺利流下并导出，**用于蒸馏**。\n\n因此题干要求“蒸馏”而装置图给出球形冷凝管时，该图就是错的。\n\n另外，锥形瓶底面积大、受热不均、直接加热易炸裂，加热时必须垫陶土网（与烧杯同理）；试管、坩埚可直接加热。,判断的关键是“冷凝液要不要流出”：需要导出冷凝液（蒸馏、分馏）就必须用直形冷凝管；只需要把蒸气冷凝回流（酯化、溴苯制取等）才用球形冷凝管。二者用途不能互换，蒸馏时用球形冷凝管会因馏分滞留而使收集失败。,p419 三年模拟解析：冷凝管,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-046,MATERIAL,分离提纯,METHOD_MODEL,热溶冷析型晶体的结晶与洗涤,产品的溶解度是“热水中大、冷水中小”时，要趁热过滤除去不溶杂质，再冷却结晶，并用饱和溶液或乙醇洗涤以减少溶解损失。,制备实验中“一系列操作”填空、“洗涤剂选择”、“产率偏低原因分析”类设问。,当产品“**可溶于热水、难溶于冷水**”时，由粗品提纯的操作为：\n\n1. 热水溶解粗品，加活性炭吸附色素；\n2. **趁热过滤**，除去活性炭等不溶性杂质——必须趁热，否则产品随温度下降会在滤纸上析出而损失；\n3. 滤液**冷却结晶**，产品析出；\n4. 过滤、洗涤、干燥。\n\n洗涤剂的选择是本类题的高频考点：**不能用蒸馏水**。产品易溶于水，用蒸馏水洗涤会造成溶解损失；应改用该产品的**饱和溶液**（或用产品难溶的乙醇等溶剂）洗涤，既洗去表面可溶杂质，又不溶解产品。,“趁热过滤”针对的是“不溶杂质 + 热溶冷析型产品”这一组合；若杂质也溶于热水，则要先蒸发浓缩再冷却结晶，按两者溶解度差异重新判断。洗涤剂必须“不溶解产品”：用蒸馏水洗涤热溶冷析型晶体、用饱和溶液洗涤溶解度极大的晶体，都是常见错误。,p419 三年模拟解析：趁热过滤与洗涤,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-047,MATERIAL,醇的化学性质,CONCEPT_EXPLANATION,铜催化氧化乙醇的实质,乙醇催化氧化时铜先被氧气氧化成 $\mathrm{CuO}$，$\mathrm{CuO}$ 再氧化乙醇，铜在两步中均被消耗又生成，起催化剂作用。,解释“铜丝在酒精灯上灼烧后插入乙醇中反复变黑变亮”、书写乙醇催化氧化方程式、判断催化剂与中间产物。,乙醇的催化氧化分两步进行：\n\n1. 灼热的铜先被空气中的氧气氧化，表面生成黑色 $\mathrm{CuO}$：$2\mathrm{Cu}+\mathrm{O_2}\xrightarrow{\Delta}2\mathrm{CuO}$；\n2. 红热的 $\mathrm{CuO}$ 再氧化乙醇，本身被还原为红色的 $\mathrm{Cu}$，乙醇被氧化为乙醛：$\mathrm{CH_3CH_2OH}+\mathrm{CuO}\xrightarrow{\Delta}\mathrm{CH_3CHO}+\mathrm{Cu}+\mathrm{H_2O}$。\n\n两步相加即总反应：$2\mathrm{CH_3CH_2OH}+\mathrm{O_2}\xrightarrow[\Delta]{\mathrm{Cu}}2\mathrm{CH_3CHO}+2\mathrm{H_2O}$。\n\n因此 $\mathrm{Cu}$ 是**催化剂**，$\mathrm{CuO}$ 是**中间产物**；铜丝“变黑又变红”正是这两步交替进行的外在表现。,判断催化剂与中间产物的方法是看该物质在总反应中是否被消耗：总反应中不出现、反应前后质量和化学性质不变的是催化剂；先消耗后再生的是中间产物。只有与羟基相连的碳上至少有 2 个氢（即含 $\mathrm{—CH_2OH}$ 结构）的醇才能被催化氧化为醛，否则生成酮或不能氧化。,p420 三年模拟解析：乙醇催化氧化,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-047,MATERIAL,有关醛的定量计算,METHOD_MODEL,醛基的检验与定量关系,1 mol 醛基被银氨溶液氧化生成 2 mol $\mathrm{Ag}$，也能被新制氢氧化铜氧化生成砖红色 $\mathrm{Cu_2O}$，而醇羟基不能被新制氢氧化铜氧化。,醛基的检验、银镜反应的定量计算、辨析“葡萄糖与乙醇谁能使新制氢氧化铜变砖红”。,**1. 银镜反应的定量关系**：$1\ \mathrm{mol}\ \mathrm{—CHO}\sim 2\ \mathrm{mol}\ \mathrm{Ag}$。计算时先数清分子中的醛基数目：1 mol 乙醛含 1 mol 醛基，只生成 1 mol $\mathrm{Ag}$（不是 2 mol）；1 mol 葡萄糖含 1 mol 醛基，同样生成 2 mol $\mathrm{Ag}$。\n\n**2. 新制氢氧化铜的氧化对象**：在加热条件下，新制 $\mathrm{Cu(OH)_2}$ 能氧化醛基生成砖红色的 $\mathrm{Cu_2O}$ 沉淀：$\mathrm{CH_3CHO}+2\mathrm{Cu(OH)_2}\xrightarrow{\Delta}\mathrm{CH_3COOH}+\mathrm{Cu_2O}\downarrow+2\mathrm{H_2O}$。葡萄糖分子中含醛基，所以能与新制 $\mathrm{Cu(OH)_2}$ 反应生成砖红色沉淀；乙醇分子中只有醇羟基，**不能被新制 $\mathrm{Cu(OH)_2}$ 氧化**。\n\n**3. 由此得到的判断**：新制 $\mathrm{Cu(OH)_2}$ 能氧化醛而不能氧化醇，可用这一差异区分醛基与醇羟基。,银镜反应的 1∶2 关系成立的前提是“1 mol 醛基”，多醛基物质必须按醛基数相乘；葡萄糖是还原性糖，靠的是分子中的醛基而不是羟基；“砖红色沉淀”来自 $\mathrm{Cu_2O}$（铜为 +1 价），不是 $\mathrm{Cu}$；酮羰基不能被银氨溶液或新制 $\mathrm{Cu(OH)_2}$ 氧化。,p420 三年模拟解析：醛基检验,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-049,MATERIAL,实验综合题答题模板,METHOD_MODEL,有机合成实验中产率的计算办法,产率计算先找不足量的反应物，按它算出理论产量，再除以实际得到的纯净产品质量。,制备实验（有机物制备、晶体产品）最后一步“产率为______%”的定量计算。,产率的计算按三步走：\n\n1. **找不足量**：把各反应物的物质的量都算出来，与方程式的化学计量数比较，确定谁不足量，以不足量物质作为计算基准。\n   例：$n(\text{苯酚})=\dfrac{4.70\ \mathrm{g}}{94\ \mathrm{g\cdot mol^{-1}}}=0.05\ \mathrm{mol}$；$n(\mathrm{NaOH})=\dfrac{2.40\ \mathrm{g}}{40\ \mathrm{g\cdot mol^{-1}}}=0.06\ \mathrm{mol}$；溴乙烷足量。$0.05<0.06$，故按苯酚计算。\n2. **算理论产量**：按方程式计量关系算出理论产量。1 mol 苯酚生成 1 mol 乙苯醚（$M=122\ \mathrm{g\cdot mol^{-1}}$），理论产量 $=0.05\ \mathrm{mol}\times 122\ \mathrm{g\cdot mol^{-1}}=6.1\ \mathrm{g}$。\n3. **求产率**：$\text{产率}=\dfrac{\text{实际产量}}{\text{理论产量}}\times 100\%=\dfrac{4.27\ \mathrm{g}}{6.1\ \mathrm{g}}\times 100\%=70\%$。\n\n注意实际产量必须是**提纯后**的产品质量，含杂质的粗品不能直接代入。,必须以不足量物质为计算基准，用足量物质算会使理论产量偏大、产率偏小；产率与“转化率”不同：转化率针对某反应物、讨论它有多少被消耗，产率针对产品、讨论理论量有多少变成产品；若反应物有多种且都可完全转化，则按题给“过量/足量”的提示选基准。,p422 三年模拟解析：产率计算,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-049,MATERIAL,有关铁及其化合物的除杂,METHOD_MODEL,含铁废料制盐的先氧化后调 pH 除铁法,先把 $\mathrm{Fe^{2+}}$ 用 $\mathrm{H_2O_2}$ 氧化为 $\mathrm{Fe^{3+}}$，再调节 pH 使其水解生成 $\mathrm{Fe(OH)_3}$ 沉淀而过滤除去。,由含铜、含铁的废料（废铜屑、废铁）制取可溶性铜盐、铁盐等流程题中的除杂环节。,用含铜、铁及少量油脂的废料制硫酸铜溶液，流程为：剪碎→加**热的碳酸钠溶液**→过滤→洗涤→加稀硫酸→加**过氧化氢溶液**→**调节 pH**→过滤→蒸发浓缩。\n\n各处的作用：\n\n- 热的碳酸钠溶液：除去废料表面的油脂；\n- 稀硫酸：溶解铜、铁的氧化物并保持酸性环境；\n- $\mathrm{H_2O_2}$：把 $\mathrm{Fe^{2+}}$ 氧化为 $\mathrm{Fe^{3+}}$（$2\mathrm{Fe^{2+}}+\mathrm{H_2O_2}+2\mathrm{H^+}=2\mathrm{Fe^{3+}}+2\mathrm{H_2O}$）；\n- 调节 pH：使 $\mathrm{Fe^{3+}}$ 水解生成 $\mathrm{Fe(OH)_3}$ 沉淀，过滤除去；\n- 后续：再加过氧化氢把 $\mathrm{Fe}$ 进一步处理（$\mathrm{Cu}$ 与 $\mathrm{H_2O_2}$、$\mathrm{H^+}$ 反应：$\mathrm{Cu}+2\mathrm{H^+}+\mathrm{H_2O_2}=\mathrm{Cu^{2+}}+2\mathrm{H_2O}$），最终经加热浓缩得硫酸铜溶液。\n\n除铁要在**除铜之前**：$\mathrm{Fe^{3+}}$ 在酸性条件下水解不完全，必须调到合适的 pH 使 $\mathrm{Fe^{3+}}$ 沉淀完全而 $\mathrm{Cu^{2+}}$ 不沉淀。,必须先氧化再调 pH：$\mathrm{Fe^{2+}}$ 只有在 pH 较高时才沉淀，容易夹带 $\mathrm{Cu^{2+}}$ 一起沉淀而损失产品；$\mathrm{H_2O_2}$ 是“绿色氧化剂”，还原产物是水、不引入新杂质，不能用 $\mathrm{KMnO_4}$（引入 $\mathrm{Mn^{2+}}$、$\mathrm{K^+}$）或 $\mathrm{HNO_3}$（引入 $\mathrm{NO_3^-}$）；调 pH 不能用 $\mathrm{NaOH}$ 时优先选 $\mathrm{CuO}$、$\mathrm{Cu(OH)_2}$、$\mathrm{CuCO_3}$ 等，既调 pH 又不引入杂质。,p422 三年模拟解析：废料制硫酸铜,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-049,MATERIAL,复杂氧化还原反应的计算,METHOD_MODEL,碘量法测碘化亚铜纯度的关系式法,把多步氧化还原反应按得失电子守恒串成“某物质～某物质”的关系式，一步算出待测物的物质的量。,氧化还原滴定测产品纯度（碘量法、高锰酸钾法）的计算题。,$\mathrm{CuI}$ 是白色固体，不溶于水和乙醇、可溶于碘化钾溶液形成可溶配合物，潮湿环境中易被氧化、见光易分解，常用作有机反应催化剂。\n\n**测定原理（两步反应）**：\n\n$$\mathrm{2CuI+4FeCl_3=2CuCl_2+4FeCl_2+I_2}$$\n\n$$\mathrm{2Na_2S_2O_3+I_2=2NaI+Na_2S_2O_6}$$\n\n**关系式法**：由第一步知 2 mol $\mathrm{CuI}$ 生成 1 mol $\mathrm{I_2}$，由第二步知 1 mol $\mathrm{I_2}$ 消耗 2 mol $\mathrm{Na_2S_2O_3}$，两式相乘得 $n(\mathrm{CuI})=n(\mathrm{Na_2S_2O_3})=c\times V\times 10^{-3}\ \mathrm{mol}$。\n\n**纯度计算**：$m(\mathrm{CuI})=0.191cV\ \mathrm{g}$（$M(\mathrm{CuI})=191\ \mathrm{g\cdot mol^{-1}}$），故纯度 $=\dfrac{19.1cV}{m}\%$（$m$ 为样品质量）。\n\n滴定前用适量蒸馏水稀释，是为了让溶液颜色变浅、便于准确判断滴定终点；滴定前尖嘴处若有气泡、滴定后气泡消失，读出的体积**偏小**，算出的产品纯度偏低；酸性 $\mathrm{KMnO_4}$ 溶液会氧化 $\mathrm{Fe^{2+}}$、$\mathrm{Cl^-}$，不能代替 $\mathrm{Na_2S_2O_3}$ 作滴定剂。,关系式法成立的前提是各步反应中目标元素“全部”按计量关系转化、无副反应；建立关系式时要从“电子守恒”入手而不是硬背系数；终点判断以“最后半滴使溶液由深变浅发生突变”为准，稀释只改变颜色深浅、不改变消耗的体积；滴定管读数要把初读数与终读数相减，气泡属“未装液就占体积”的系统误差。,p422 三年模拟解析：碘量法测 CuI 纯度,c
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.化学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/专题十二 化学实验综合/专题PDF/专题十二  化学实验综合.pdf,1422ee20c2-050,MATERIAL,酯化反应实验探究,METHOD_MODEL,分水器在酯化反应中的双重作用,分水器不断把生成的水分离出去，降低生成物浓度使平衡正向移动，并把有机层回流回反应瓶以提高酯的产率。,酯化反应制备装置图分析、“从平衡移动角度解释分水器的作用”、提高酯产率的措施。,酯化反应是**可逆反应**且生成水：$\mathrm{RCOOH+R'OH\rightleftharpoons RCOOR'+H_2O}$。\n\n分水器的作用有两点：\n\n- **移出生成物**：反应生成的水不断被分水器分离出去，生成物浓度降低，平衡向正反应方向移动，酯的产率提高；\n- **回流反应物**：沸点较低的醇、酸被冷凝后回流到反应瓶中继续反应，减少原料损失。\n\n注意水在分水器中位于下层（或按题给装置判断），蒸馏出的液体经分水后，有机层回流、水层放出。\n\n装置复述：三颈烧瓶 + 分水器 + 球形冷凝管 + 电动搅拌，加热回流时用球形冷凝管而不用直形冷凝管。,分水器只适用于“生成物中有水且水能与有机层分层”的酯化、缩聚等反应；如果反应物本身溶于水、或产物易随水一起被带出，则不能简单套用。回答“分水器作用”时必须同时说明“降低生成物浓度、平衡正向移动”这一原理，只写“除水”或“提高产率”而不给因果会失分。,p423 三年模拟解析：分水器,
