subject,book,chapter,kb_nodes,kb_nodes_with_material,wusan_pages,wusan_candidates,gap
BIOLOGY,生物学必修1,第一章 走近细胞,12,11,1,13,部分无材料
BIOLOGY,生物学必修1,第三章 细胞的基本结构,25,22,6,67,部分无材料
BIOLOGY,生物学必修1,第二章 组成细胞的分子,30,27,6,81,部分无材料
BIOLOGY,生物学必修1,第五章 细胞的能量供应和利用,38,36,28,319,部分无材料
BIOLOGY,生物学必修1,第六章 细胞的生命历程,11,10,11,128,部分无材料
BIOLOGY,生物学必修1,第四章 细胞的物质输入和输出,12,12,7,81,有节点有材料
BIOLOGY,生物学必修2,第一章 遗传因子的发现,29,24,12,117,部分无材料
BIOLOGY,生物学必修2,第三章 基因的本质,8,8,5,67,有节点有材料
BIOLOGY,生物学必修2,第二章 基因和染色体的关系,11,11,8,72,有节点有材料
BIOLOGY,生物学必修2,第五章 基因突变及其他变异,9,9,14,181,有节点有材料
BIOLOGY,生物学必修2,第六章 生物的进化,10,9,3,48,部分无材料
BIOLOGY,生物学必修2,第四章 基因的表达,8,7,5,59,部分无材料
BIOLOGY,生物学选择性必修1,第一章 内环境与稳态,8,6,2,28,部分无材料
BIOLOGY,生物学选择性必修1,第三章 体液调节,9,9,10,167,有节点有材料
BIOLOGY,生物学选择性必修1,第二章 神经调节,12,12,10,129,有节点有材料
BIOLOGY,生物学选择性必修1,第二至四章 动物生命活动调节（综合）,2,2,0,0,有节点有材料
BIOLOGY,生物学选择性必修1,第五章 植物生命活动的调节,8,8,5,84,有节点有材料
BIOLOGY,生物学选择性必修1,第四章 免疫调节,11,9,6,107,部分无材料
BIOLOGY,生物学选择性必修2,第一章 种群及其动态,9,8,6,56,部分无材料
BIOLOGY,生物学选择性必修2,第三章 生态系统及其稳定性,24,13,7,69,部分无材料
BIOLOGY,生物学选择性必修2,第二章 群落及其演替,4,4,6,47,有节点有材料
BIOLOGY,生物学选择性必修2,第四章 人与环境,1,1,2,25,有节点有材料
BIOLOGY,生物学选择性必修3,第一章 发酵工程,4,4,7,77,有节点有材料
BIOLOGY,生物学选择性必修3,第三章 基因工程,7,7,18,168,有节点有材料
BIOLOGY,生物学选择性必修3,第二章 细胞工程,5,4,9,115,部分无材料
BIOLOGY,生物学选择性必修3,第四章 生物技术的安全性与伦理问题,1,1,0,0,有节点有材料
CHEMISTRY,化学必修第一册,第一章 物质及其变化,89,65,22,202,部分无材料
CHEMISTRY,化学必修第一册,第三章 铁 金属材料,66,41,4,43,部分无材料
CHEMISTRY,化学必修第一册,第二章 海水中的重要元素——钠和氯,81,72,23,206,部分无材料
CHEMISTRY,化学必修第一册,第四章 物质结构 元素周期律,33,25,6,44,部分无材料
CHEMISTRY,化学必修第二册,第七章 有机化合物,12,5,0,0,部分无材料
CHEMISTRY,化学必修第二册,第五章 化工生产中的重要非金属元素,68,43,5,67,部分无材料
CHEMISTRY,化学必修第二册,第八章 化学与可持续发展,4,1,7,60,部分无材料
CHEMISTRY,化学必修第二册,第六章 化学反应与能量,11,6,0,0,部分无材料
CHEMISTRY,化学选择性必修1,第一章 化学反应的热效应,26,16,6,51,部分无材料
CHEMISTRY,化学选择性必修1,第三章 水溶液中的离子反应与平衡,73,39,15,192,部分无材料
CHEMISTRY,化学选择性必修1,第二章 化学反应速率与化学平衡,76,54,19,170,部分无材料
CHEMISTRY,化学选择性必修1,第四章 化学反应与电能,38,27,13,117,部分无材料
CHEMISTRY,化学选择性必修2,第一章 原子结构与性质,14,9,0,0,部分无材料
CHEMISTRY,化学选择性必修2,第三章 晶体结构与性质,13,12,6,65,部分无材料
CHEMISTRY,化学选择性必修2,第二章 分子结构与性质,37,24,0,0,部分无材料
CHEMISTRY,化学选择性必修3,第一章 有机化合物的结构特点与研究方法,26,18,2,12,部分无材料
CHEMISTRY,化学选择性必修3,第三章 烃的衍生物,48,22,12,137,部分无材料
CHEMISTRY,化学选择性必修3,第二章 烃,28,13,6,83,部分无材料
CHEMISTRY,化学选择性必修3,第五章 合成高分子,19,12,2,25,部分无材料
CHEMISTRY,化学选择性必修3,第四章 生物大分子,21,9,3,42,部分无材料
CHEMISTRY,跨册综合,实验与方案设计,12,6,0,0,部分无材料
MATH,数学必修第一册,第一章 集合与常用逻辑用语,25,21,6,51,部分无材料
MATH,数学必修第一册,第三章 函数的概念与性质,43,35,15,114,部分无材料
MATH,数学必修第一册,第二章 一元二次函数、方程和不等式,20,19,6,42,部分无材料
MATH,数学必修第一册,第五章 三角函数,18,15,10,76,部分无材料
MATH,数学必修第一册,第四章 指数函数与对数函数,45,35,8,60,部分无材料
MATH,数学必修第二册,第七章 复数,5,5,2,18,有节点有材料
MATH,数学必修第二册,第九章 统计,4,4,6,42,有节点有材料
MATH,数学必修第二册,第八章 立体几何初步,53,44,17,108,部分无材料
MATH,数学必修第二册,第六章 平面向量及其应用,8,8,11,85,有节点有材料
MATH,数学必修第二册,第十章 概率,3,3,5,30,有节点有材料
MATH,数学选择性必修第一册,第一章 空间向量与立体几何,33,27,5,33,部分无材料
MATH,数学选择性必修第一册,第三章 圆锥曲线的方程,12,10,17,161,部分无材料
MATH,数学选择性必修第一册,第二章 直线和圆的方程,4,4,5,49,有节点有材料
MATH,数学选择性必修第三册,第七章 随机变量及其分布,8,8,10,72,有节点有材料
MATH,数学选择性必修第三册,第八章 成对数据的统计分析,2,1,5,40,部分无材料
