chunk_rel,chunk_id,action,node_slug,type,title,summary,applicability,content,boundary,note,midx
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题五 平面向量与复数/题型透析/讲解册PDF/专题五　平面向量与复数.pdf,e99f917373-006,MATERIAL,极化恒等式,METHOD_MODEL,极化恒等式及其几何解释,极化恒等式把向量的数量积转化为两个向量和差模的平方差，可建立起向量与几何长度之间的等量关系。,当两个向量共起点、且其中一边（或两边之差）长度为定值时，求数量积或其最值的问题。,极化恒等式：对任意向量 $\vec a$ 与 $\vec b$ 有 $\vec a\cdot\vec b=\frac14[(\vec a+\vec b)^2-(\vec a-\vec b)^2]$。\n\n几何解释\n\n（1）平行四边形模型：向量的数量积等于和对角线长与差对角线长平方差的四分之一，即 $\vec a\cdot\vec b=\frac14[(\vec a+\vec b)^2-(\vec a-\vec b)^2]$。\n\n（2）三角形模型：向量的数量积等于第三边上中线长与第三边长一半的平方差，即 $\vec{AB}\cdot\vec{AC}=\vec{AM}^2-\vec{MB}^2$，其中 $M$ 为 $BC$ 的中点。\n\n极化恒等式表明向量的数量积可以由向量的模来表示，从而建立起向量与几何长度之间的等量关系。\n\n使用套路：先判断两向量是否共起点、是否有一边长为定值，符合条件后取该定值边的中点，把数量积写成两个距离平方之差，于是求数量积的最值就转化为求动点到定点的距离的最值。,使用前必须验证两向量共起点，不共起点时需先平移。三角形模型中必须取第三边的中点，不能取其他点。当题中出现两个动点时不能直接用。,p591 题型18 极化恒等式,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优13 圆锥曲线中的弦长与面积问题/讲解册PDF/培优13　圆锥曲线中的弦长与面积问题.pdf,7bb27ef66e-003,MATERIAL,圆锥曲线中的面积计算,METHOD_MODEL,常见三角形面积比处理技巧,把两个三角形的面积比转化为底之比、高之比或夹角的正弦之比，是处理圆锥曲线面积比问题（含求最小值的常用套路）。,题目中出现两个三角形面积之比——尤其两三角形同高、同底、对顶角或等角共顶点时——需要化简比值或求该比值的最值。,处理面积比的四种常见模型：\n\n（1）同高模型：两三角形共顶点且底边在同一直线上，面积比等于底之比，$\frac{S_{\triangle ACD}}{S_{\triangle ADB}}=\frac{\frac12|CD|\cdot h}{\frac12|BD|\cdot h}=\frac{|CD|}{|BD|}$（$h$ 为 $\triangle ABC$ 的边 $BC$ 上的高）。\n\n（2）同底模型：两三角形有公共底边，面积比等于对应高之比，$\frac{S_{\triangle ABC}}{S_{\triangle ABD}}=\frac{\frac12|AB|\cdot h_1}{\frac12|AB|\cdot h_2}=\frac{h_1}{h_2}$（$h_1$ 与 $h_2$ 分别为 $\triangle ABC$ 与 $\triangle ABD$ 边 $AB$ 上的高）。\n\n（3）对顶角模型：两三角形有一组对顶角相等，面积比等于夹该角两边乘积之比，$\frac{S_{\triangle OAC}}{S_{\triangle OBD}}=\frac{\frac12|OA|\cdot|OC|\cdot\sin\alpha}{\frac12|OB|\cdot|OD|\cdot\sin\alpha}=\frac{|OA|\cdot|OC|}{|OB|\cdot|OD|}$。\n\n（4）等角共角模型：两三角形共用一个角或该角相等，面积比同样等于夹该角两边乘积之比，$\frac{S_{\triangle OAC}}{S_{\triangle OBD}}=\frac{|OA|\cdot|OC|}{|OB|\cdot|OD|}$。\n\n使用套路：先把面积比化为线段比或坐标差的比，再借助三点共线把线段比转化为向量（坐标）的倍数关系，最后联立曲线方程用韦达定理求解；出现 $t+k$ 这类结构时联想基本不等式求最值。,不同高也不同底的两角形不能直接用，需先转化或作辅助线分割。同高模型要求两底边共线，同底模型要求两顶点到底边的距离为高。用基本不等式求最值时必须验证等号成立条件。,p595 培优13 技巧点拨 常见三角形面积比处理技巧,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优14 圆锥曲线中的最值和范围问题/讲解册PDF/培优14　圆锥曲线中的最值或范围问题.pdf,ce96a2d8c2-001,MATERIAL,NEW:圆锥曲线中最值或范围问题的几何法,METHOD_MODEL,用几何关系求圆锥曲线的最值或范围,当题设条件和结论能明显体现几何特征时，用圆锥曲线的定义、几何性质与平面几何定理直接求最值，往往比代数法更快。,题设或结论中出现焦点、准线、圆心、定直线等明显的几何对象，求长度、距离、面积的最值或范围。,适用信号：题设条件和结论能明显体现几何特征和意义。此时利用圆锥曲线的定义、几何性质以及平面几何中的定理、性质求解。\n\n常用的几何转化：\n\n（1）抛物线 $x^2=2py$（$p>0$）上任意点 $P$ 到焦点 $F(0，\frac p2)$ 的距离，转化为到准线 $y=-\frac p2$ 的距离，即 $|PF|=y_P+\frac p2$；\n\n（2）抛物线上动点的坐标可设为单变量形式，如 $P(2m，m^2)$（对应 $x^2=4y$），把几何量化为关于 $m$ 的函数；\n\n（3）圆上动点到定点的距离最值，转化为圆心距加减半径，即 $|AH|_{\max}=|AF|+r$、$|AH|_{\min}=|AF|-r$，取到最值时 $A、H、F$ 三点共线；\n\n（4）折线段之和的最小值用三角形两边之和大于第三边，把折线拉直；\n\n（5）三点共线常用来判定取到最大（小）值的临界位置。,几何法的前提是能找到明确的定点、定直线或定圆（焦点、准线、圆心）。当题设条件与结论没有明显几何特征时，应改用代数法建立函数求最值。取到最值时对应的位置（如三点共线）必须交代清楚，否则最值不可信。赋值为 $t$ 的参数要注意其本身范围。,p603 培优14 类型1 用几何关系求最值或范围,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优14 圆锥曲线中的最值和范围问题/讲解册PDF/培优14　圆锥曲线中的最值或范围问题.pdf,ce96a2d8c2-002,MATERIAL,NEW:圆锥曲线中最值或范围问题的代数法,METHOD_MODEL,用代数关系求圆锥曲线的最值或范围,当题设与结论体现明确的函数关系时，先建立目标函数，再用二次函数、基本不等式、换元、导数等方法求这个函数的最值或范围。,求弦长、面积、斜率之和等量的取值范围，且几何特征不明显、需要联立方程用韦达定理的问题。,适用信号：题设条件和结论能体现一种明确的函数关系。做法是先建立目标函数，再利用二次函数、基本不等式法、换元法、导数法等求这个函数的最值或范围。\n\n操作步骤与技巧：\n\n（1）直线过 $x$ 轴上的定点时，设横截式 $x=ty+m$ 比设斜截式简单；注意排除 $t$ 使直线与渐近线平行的情形（此时只有一个交点），例如双曲线中需 $t\ne\pm\frac{2\sqrt3}{3}$；\n\n（2）联立曲线方程消元后用韦达定理写出 $y_1+y_2$ 与 $y_1y_2$，弦长用 $|AB|=\sqrt{1+t^2}\cdot|y_1-y_2|$；代数式 $x_1x_2$、$x_1+x_2$ 也可用 $x=ty+m$ 整体代换得到；\n\n（3）参数 $t$ 的范围由交点个数与位置决定，如直线与双曲线右支有两个交点，结合图形得 $t\in(-\frac{2\sqrt3}{3}，\frac{2\sqrt3}{3})$，这个范围直接决定了 $|AB|$ 的取值范围；\n\n（4）目标式既无和也无积的形式时，用不了基本不等式，也看不出单调性，此时换元简化，再求导判断单调性求值域；\n\n（5）求出的函数值域要回代到参数的允许范围内取交集。,换元后必须写出新元的取值范围再求值域。使用导数求最值时需先说明单调性。斜率不存在（竖直线）与斜率为零的情形要单独讨论，避免漏解。参数的范围必须由判别式与图形位置共同确定，只靠判别式会漏掉交点所在支的限制。,p604 培优14 类型2 用代数关系求最值或范围 归纳总结,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优14 圆锥曲线中的最值和范围问题/讲解册PDF/培优14　圆锥曲线中的最值或范围问题.pdf,ce96a2d8c2-003,MATERIAL,NEW:圆幂与根轴,CONCEPT_EXPLANATION,圆幂与根轴,圆幂是点到圆心的距离与半径的平方差，两圆根轴是使两圆幂相等的点的集合，其方程可由两圆方程相减得到。,涉及两圆公共弦所在直线、两圆幂相等的点的轨迹、以及两圆位置关系判定与切线长计算的问题。,圆幂：平面上任意一点到圆心的距离与半径的平方差，即 $d^2-r^2$。\n\n根轴：在平面上任给两个不同的圆，使这两个圆的圆幂相等的点的集合是一条直线，这条直线称为这两个圆的根轴。\n\n根轴的求法：把两圆都化为 $x^2+y^2+Dx+Ey+F=0$ 的形式，两方程相减消去二次项，得到的二元一次方程即为根轴（两圆相交时也就是公共弦所在直线）的方程。\n\n例如圆 $C:x^2+2x+y^2=0$（圆心 $C(-1，0)$、半径 $r_1=1$）与圆 $M:(x-3)^2+(y-4)^2=9$（圆心 $M(3，4)$、半径 $r_2=3$），由 $|TC|^2-r_1^2=|TM|^2-r_2^2$ 整理得 $x+y-2=0$，即两圆根轴为 $x+y-2=0$；用两圆方程相减同样得到 $x+y-2=0$。\n\n相关二级结论：两圆方程相减所得的直线就是它们的公共弦（或根轴）所在直线，考试中用来快速求公共弦方程或避免重复联立。,根轴要求两圆不同心，同心圆没有有限根轴。相减前两圆方程必须都化为二次项系数相同的标准形式。两圆相交时根轴是公共弦所在直线，两圆相离或内含时根轴仍然存在但不再是公共弦。涉及距离之和的最小值时要用三角形两边之和大于第三边并验证等号能取到。,p605 培优14 综合提升练 圆幂与根轴新定义,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/讲解册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,ee19abb3fc-001,MATERIAL,NEW:圆锥曲线中的定点问题,METHOD_MODEL,证明动直线恒过定点的两条证法,证明动直线或动直线上某点恒过定点有参数法与构造齐次式两条路：前者换元减少项数后消参，后者把斜率结构齐次化后用韦达定理。,求证过定点的直线交圆锥曲线于两点、且由这两点引出的两条动直线与坐标轴交点的中点为定点的题型。,证明动直线（或动直线上某点）恒过定点。例题背景：过点 $P(-2，3)$ 的直线交椭圆于 $P$、$Q$ 两点，直线 $AP$、$AQ$ 与 $y$ 轴的交点分别为 $M$、$N$，证明线段 $MN$ 的中点为定点。\n\n**证法一 参数法**\n\n（1）由题意先判断直线的斜率存在且不为零，设 $l:y=k(x+2)+3=kx+2k+3$\n\n（2）换元技巧：解析几何中可采取换元，令 $t=2k+3$，则 $l:y=kx+t$，减少斜截式方程中的项数，从而减少后续的计算量\n\n（3）联立直线与曲线方程得到关于 $x$ 的一元二次方程，由 $\Delta>0$ 得参数限制（如 $4k^2+9>t^2$）\n\n（4）用韦达定理写出 $x_1+x_2$ 与 $x_1x_2$，把目标量（$MN$ 中点的纵坐标）用 $k$ 与 $t$ 表示，通分整理后代入 $t=2k+3$，若结果与参数无关则说明过定点，取其常数得定点坐标\n\n**证法二 构造齐次式**\n\n把 $\frac{y_1}{x_1+2}$ 这类结构看作斜率，将椭圆方程配方为关于 $(x+2)$ 与 $y$ 的齐次结构，令 $t=\frac{y}{x+2}$，得到关于 $t$ 的一元二次方程，再由根与系数的关系直接得出两个斜率之和为常数，即得中点坐标。,设直线方程前必须先判断斜率是否存在、是否为零，斜率不存在的情形要单独讨论。换元后一定要把参数消干净，否则不能说明过定点。构造齐次式时二次曲线与直线方程的次数要匹配，必须整体用 $(x-x_0)$ 与 $(y-y_0)$ 表示。最后务必回代验证定点确实在曲线上。,p608 培优15 类型1 定点问题；建议父级：解析几何/圆锥曲线,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/讲解册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,ee19abb3fc-002,MATERIAL,NEW:圆锥曲线中的定点问题,METHOD_MODEL,直线恒过定点问题的三类解法,处理直线恒过定点问题的完整方法体系：参数法、同构法、构造齐次式法，三者都归结为让参数取任意值时方程恒成立的方程组。,求或证动直线恒过定点的综合题，特别是两动点分别在两条相关直线上、且斜率之积或斜率之和为定值的情形。,**1．参数法**\n\n（1）设动直线的方程（斜率存在）为 $y=kx+t$\n\n（2）联立动直线方程与圆锥曲线方程得到一个二次方程\n\n（3）根据条件得到直线的方程，整理为 $kf(x，y)+g(x，y)=0$ 的形式\n\n（4）直线过定点时与参数没有关系（即方程对参数的任意值都成立），得到方程组 $f(x，y)=0$ 与 $g(x，y)=0$\n\n（5）以方程组的解为坐标的点就是直线所过的定点\n\n**2．同构法**\n\n（1）设动直线 $PM$ 的方程为 $y=k(x-x_0)+y_0$\n\n（2）联立直线与椭圆（抛物线）的方程，解出点 $M$ 的坐标形如 $A(k)$ 与 $B(k)$，同理得出点 $N$ 的坐标形如 $C(k)$ 与 $D(k)$\n\n（3）写出动直线 $MN$ 的方程，并整理成 $kf(x，y)+g(x，y)=0$ 的形式\n\n（4）同样由参数的任意性得到方程组，解出定点\n\n**3．构造齐次式法**\n\n（1）初步认识：设 $A(x_1，y_1)$ 与 $B(x_2，y_2)$ 是二次曲线上的两点，$P(x_0，y_0)$ 为平面上任意一点，则 $k_1=\frac{y_1-y_0}{x_1-x_0}$ 与 $k_2=\frac{y_2-y_0}{x_2-x_0}$。此法适用于 $k_1k_2$ 为定值或 $k_1+k_2$ 为定值的问题\n\n（2）第一步明确 $x$ 与 $y$ 的出现形式：把 $k_1$ 与 $k_2$ 结合成 $\frac{y-y_0}{x-x_0}$ 的形式，将曲线与直线方程中的 $x$ 与 $y$ 都配凑成 $x-x_0$ 与 $y-y_0$ 的形式\n\n（3）第二步配凑齐二次式：借助直线方程，将曲线方程中的非二次项配凑成二次项\n\n（4）第三步构造斜率：对配凑好的齐次式两边同时除以 $(x-x_0)^2$ 构造斜率,三种方法都需先讨论斜率不存在的情形。参数法最后必须把参数消干净；同构法要求两条动直线结构对称。构造齐次式前必须确保直线不经过定义中的特殊点（否则无法同除 $(x-x_0)^2$），并检查配凑过程中是否引入了增根。,p609 培优15 总结归纳 直线恒过定点问题的解题方法；建议父级：解析几何/圆锥曲线,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/讲解册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,ee19abb3fc-002,MATERIAL,NEW:圆锥曲线中的定值问题,METHOD_MODEL,定值问题的转化思路,把某线段长为定值转化为动点在以定点为圆心的圆上，从而把定值问题转化为证明动直线过定点。,题中出现是否存在定点 $Q$ 使得某线段长为定值这类问法，需要先找出定值再证明的定值问题。,处理思路：若存在定点 $Q$ 使得 $|DQ|$ 为定值，则点 $D$ 在以定点 $Q$ 为圆心的圆上。题目中已知 $AD\perp MN$，若 $MN$ 过定点 $P$，则 $D$ 在以 $AP$ 为直径的圆上，于是 $AP$ 的中点 $Q$ 即可满足条件。这样就把定值问题转化为证明直线 $MN$ 恒过定点的问题，再套用定点问题的解法即可。\n\n求定值时常用的写法：$D$ 在以 $AP$ 为直径的圆上时 $Q$ 为圆心，故 $|DQ|=\frac12|AP|$，右边是定值，左边即所要求的定值、证明后即可作答。,转化前提是 $AD\perp MN$ 这类垂直关系成立，且能确定动直线过哪个定点。若题中不存在垂直关系，不能直接用此转化。证明时需分斜率存在与不存在两种情形讨论，并在答案中交代定点 $Q$ 的坐标与定值的大小。,p609 培优15 类型2 定值问题；建议父级：解析几何/圆锥曲线,b
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/讲解册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,ee19abb3fc-003,MATERIAL,NEW:圆锥曲线中的定值问题,METHOD_MODEL,圆锥曲线中定值问题的一般处理方法,求定值的四条常用路径是直接法、参数法、由特殊到一般法、齐次化法，其中结构齐次化有标准的三步操作。,证明或求解与动点、动直线有关的量为定值的问题，包括斜率之和、斜率之积、长度、面积为定值。,**1．直接法**：根据题意和圆锥曲线的性质，直接列出表达式或方程进行求解。\n\n**2．参数法**：设动点或动直线时引入参数，结合已知条件将目标式用参数表示，再根据点在曲线上代入消参求得定值，或经过整理化简后恒为定值。\n\n**3．由特殊到一般法**：先从问题的特殊情形出发，如直线的斜率不存在、直线过原点等，得到目标关系所要探求的定值，再进一步证明一般情况下该定值也成立。\n\n**4．齐次化法**：有关斜率和、斜率积的问题，利用齐次化的方法把方程整理成关于斜率的一元二次方程，根据根与系数的关系直接可得斜率之和与斜率之积的值。\n\n**结构齐次化的标准操作**（以椭圆 $\frac{x^2}{6}+\frac{y^2}{3}=1$ 与定点 $A(2，1)$ 为例）：\n\n（1）把椭圆方程变形为 $\frac{(x-2+2)^2}{6}+\frac{(y-1+1)^2}{3}=1$，将 $(x-2)$ 与 $(y-1)$ 看作整体整理，得 $(x-2)^2+4(x-2)+2(y-1)^2+4(y-1)=0$\n\n（2）设直线 $MN$ 的方程为 $m(x-2)+n(y-1)=1$，与曲线方程联立构成齐次式 $(1+4m)(x-2)^2+4(m+n)(x-2)(y-1)+(2+4n)(y-1)^2=0$\n\n（3）当 $x\ne2$ 时两边同除 $(x-2)^2$，得到关于 $\frac{y-1}{x-2}$ 的一元二次方程，由根与系数的关系得 $k_{AM}\cdot k_{AN}=\frac{4m+1}{2+4n}$\n\n（4）用垂直条件 $AM\perp AN$ 得 $\frac{4m+1}{2+4n}=-1$，解得 $m=-\frac34-n$，代回直线方程整理为 $\frac34(x-\frac23)+n(x-y-1)=0$，令两项系数都为零即得定点,用由特殊到一般法时必须补证一般情形，不能只用特殊点得到答案。参数法最后要消参。齐次化时直线不能过定点 $A$，否则无法同除 $(x-2)^2$；同时必须单独讨论斜率不存在（即 $M$ 与 $N$ 中有一点与 $A$ 纵坐标相等）的情形。,p610 培优15 总结归纳 定值问题的处理方法；建议父级：解析几何/圆锥曲线,
27版五三/53模拟B版（2027版）/2027版.5·3B版.新教材.数学.新高考版.高三.全一册_学生用书全一册/一、本书配套电子教参/重难突破/专题八 平面解析几何/培优15 圆锥曲线中的定点、定值和定线问题/讲解册PDF/培优15　圆锥曲线中的定点、定值和定线问题.pdf,ee19abb3fc-004,MATERIAL,NEW:圆锥曲线中的定线问题,METHOD_MODEL,圆锥曲线中定线问题的解题思路,证明动点在定直线上有两条路：先用特殊位置猜出直线再一般性证明，或直接从动点坐标入手消参得到横纵坐标的关系式。,求证动点恒在定直线（或定曲线）上、以及由动直线与定直线交点位置确定的问题。,**1．从特殊入手**：初步确定动点所在的直线（曲线），再证明一般情况下动点也在该定直线（曲线）上。\n\n**2．从动点的坐标入手**：直接推理、计算，并在计算推理的过程中消去变量，从而得到动点的横、纵坐标关系，进而得出定直线（曲线）的方程。\n\n例题中的关键操作：\n\n（1）因为 $O$ 是圆 $x^2+y^2=1$ 的圆心，且 $P$、$Q$ 在圆上，若 $P$、$O$、$Q$ 三点共线，则 $PQ$ 为圆 $x^2+y^2=1$ 的直径；根据直径所对的圆周角为直角，可将证明 $P$、$O$、$Q$ 三点共线转化为证明 $AP\perp AQ$，即证 $AM\perp AN$。这是以圆为背景把共线问题转化为垂直问题的典型转化；\n\n（2）直线 $MN$ 斜率不为零时设横截式 $x=my+2$，联立双曲线方程后由韦达定理写出 $y_1+y_2$ 与 $y_1y_2$；参数 $m$ 的范围由直线与右支有两个交点确定，即 $|m|$ 小于渐近线斜率倒数的绝对值；\n\n（3）求出 $P$ 的坐标后对 $k_{OP}$ 作变形，目的是把 $N$ 点的坐标引进来，与 $M$ 点的坐标形成对称结构，再用韦达定理整体代入化简。这一步变形构造对称结构是解析几何化简的重要意识。,从特殊入手时必须补证一般情形。三点共线转化为垂直的前提是 $P$、$Q$ 在以 $O$ 为圆心的圆上。设 $x=my+t$ 时要讨论斜率不存在的情形。参数的取值范围必须由交点位置确定，不能只用判别式。,p611 培优15 类型3 定线问题；建议父级：解析几何/圆锥曲线,
