subject,pdf_rel,page,span,status,page_kind,plan,chars,formulas,figs,numbered,uncertainties,truncated,items_min,verdict,gate,note
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,1,0001_0014,done,封面/扉页,审计-轻,398,0,2,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,2,0001_0014,done,封面/扉页,审计-轻,369,0,2,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,3,0001_0014,done,公式密排,审计-全,2962,75,0,35,0,,65,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,4,0001_0014,done,公式密排,审计-全,3828,123,3,36,0,,53,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,5,0001_0014,done,公式密排,审计-全,4879,151,2,45,0,,46,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,6,0001_0014,done,公式密排,审计-全,3466,131,6,39,0,,71,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,7,0001_0014,done,表格式,审计-全,256,0,1,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,8,0001_0014,done,图密集,审计-全,657,0,5,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,9,0001_0014,done,图密集,审计-全,621,0,7,4,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,10,0001_0014,done,叙述,审计-轻,1565,1,0,8,0,,0,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,11,0001_0014,done,叙述,审计-轻,1667,4,0,9,0,,0,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,12,0001_0014,done,叙述,审计-轻,2049,13,0,6,0,,0,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,13,0001_0014,done,叙述,审计-轻,1773,3,0,6,0,,0,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,14,0001_0014,done,叙述,审计-轻,1852,5,0,8,0,,0,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,15,0015_0028,done,叙述,审计-轻,1589,0,0,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,16,0015_0028,done,叙述,审计-轻,1814,0,0,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,17,0015_0028,done,叙述,审计-轻,1747,1,0,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,18,0015_0028,done,叙述,审计-轻,1544,0,0,8,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,19,0015_0028,done,叙述,审计-轻,1705,0,0,9,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,20,0015_0028,done,叙述,审计-轻,2638,9,0,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,21,0015_0028,done,叙述,审计-轻,2821,4,0,0,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,22,0015_0028,done,叙述,重转-全协议,2832,3,0,0,0,,143,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,23,0015_0028,done,公式密排,审计-全,1689,71,4,6,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,24,0015_0028,done,公式密排,审计-全,1584,53,2,9,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,25,0015_0028,done,叙述,审计-轻,1391,27,1,18,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,26,0015_0028,done,公式密排,审计-全,1940,74,0,16,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,27,0015_0028,done,公式密排,审计-全,1838,91,2,11,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,28,0015_0028,done,公式密排,审计-全,2695,96,3,21,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,29,0029_0042,done,公式密排,审计-全,2726,101,2,13,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,30,0029_0042,done,公式密排,审计-全,2218,98,2,25,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,31,0029_0042,done,公式密排,重转-全协议,2104,71,3,23,0,,27,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,32,0029_0042,done,公式密排,审计-全,2544,95,2,17,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,33,0029_0042,done,公式密排,审计-全,2892,93,5,34,0,,,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,34,0029_0042,done,公式密排,重转-全协议,2014,62,2,14,0,,15,RETRANSCRIBE,fail,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,35,0029_0042,done,公式密排,审计-全,2000,113,1,21,0,,27,ACCEPT,pass,
MATH,2027版高中《53知识清单》彩色版（数学）/【2027】53高中知识清单高中数学必修+选择性必修.pdf,36,0029_0042,done,公式密排,重转-全协议,2160,87,0,17,0,,19,RETRANSCRIBE,fail,
